# Timestamp: 2026-04-05T13:39:23.215167
# CPU: Intel(R) Core(TM) Ultra 7 265K
# CPU Tier: AVX-VNNI-256
# Cores: 20 logical / 20x1 physical
# Memory: 46.4 GB total / 44.14 GB available
# ISA: avx2 avx_vnni fma
"# GPU[0]: NVIDIA GeForce RTX 4060 Ti, 16380 MiB"
# GPU Count: 1
#
Model,Metric,hi (2),1K (969),2K (1930),4K (3846),8K (7678),TP,GPU Experts,Method,CPU Infer,Threadpool
Qwen3.5-35B-A3B-GPTQ-Int4,Output length,10tokens,300tokens,300tokens,300tokens,300tokens,1,24,GPTQ_INT4,8,1
Qwen3.5-35B-A3B-GPTQ-Int4,Prefill token/s,17.1,350.3,358.4,361.6,734.7,1,24,GPTQ_INT4,8,1
Qwen3.5-35B-A3B-GPTQ-Int4,Decode  token/s,30.5,27.4,27.4,27.3,26.9,1,24,GPTQ_INT4,8,1
Qwen3.5-35B-A3B-GPTQ-Int4,TTFT (ms),59,2932,5723,11335,11155,1,24,GPTQ_INT4,8,1
Qwen3.5-35B-A3B-GPTQ-Int4,TOPT (ms/tok),32.8,36.5,36.5,36.6,37.2,1,24,GPTQ_INT4,8,1
