cycle,artifact,direction,target,prefill_tps,decode_tps,ttft_ms,tpot_ms,e2e_ms,first_target_delay_calls,first_target_delay_ms,settle_target_delay_calls,settle_target_delay_ms,background_ready_ms,ready_to_first_target_calls,ready_to_first_target_ms,ready_to_settle_target_calls,ready_to_settle_target_ms,pre_transition_calls_per_s,post_transition_calls_per_s,post_vs_pre_rate,client_pre_transition_tps,client_post_transition_tps,client_post_vs_pre_tps,completion_tokens,stream_tokens,stream_chunks,token_timestamps_exact,execution_calls,igpu_calls,cpu_calls,exploration_calls,switch_delta,final_igpu_ratio,background_stopped
1,/home/wy/Work/ktransformers/artifacts/running-server-bench/dynamic-v5-reprobe-ceiling-engine-low-compute20-to-none-transition-token-exact-smoke-20260719,high-to-low,cpu,146.47608969604295,22.897459935713915,7141.097240993986,43.672966469100245,33301.27421597717,14,731.541598,46,1849.651782,,,,,,14.490283752052553,28.849391125457323,1.9909472870999367,14.462430819413521,28.377644623501403,1.962162860299315,600,600,600,True,600,164.0,436.0,32,1,0.0,True
2,/home/wy/Work/ktransformers/artifacts/running-server-bench/dynamic-v5-reprobe-ceiling-engine-low-compute20-to-none-transition-token-exact-cycle02-20260719,high-to-low,cpu,148.1701900302379,24.195479650620793,7059.449675987707,41.330034140254895,31816.211552999448,15,741.808295,47,1823.906494,,,,,,16.174407706301448,29.34120628978742,1.814051359565783,16.198396356564675,28.923560714631968,1.7855817377199936,600,600,600,True,600,165.0,435.0,32,1,0.0,True
3,/home/wy/Work/ktransformers/artifacts/running-server-bench/dynamic-v5-reprobe-ceiling-engine-low-compute20-to-none-transition-token-exact-cycle03-20260719,high-to-low,cpu,142.28266325439117,23.570954954546,7351.563261996489,42.42509486477702,32764.266229001805,12,629.735143,44,1725.048345,,,,,,15.513743630063114,28.769631627978843,1.8544609421176699,15.512193721704673,28.467883826952182,1.8351939343769217,600,600,600,True,600,163.0,437.0,32,1,0.0,True
4,/home/wy/Work/ktransformers/artifacts/running-server-bench/dynamic-v5-reprobe-ceiling-engine-low-compute20-to-none-transition-token-exact-cycle04-20260719,high-to-low,cpu,146.59886246733896,24.068923451912795,7135.116755991476,41.54735054926308,32022.048639977584,15,786.431983,47,1872.481602,,,,,,16.049216189767765,29.316309382617654,1.8266505376946927,16.075727899046804,28.812477229895418,1.7922968969637654,600,600,600,True,600,165.0,435.0,32,1,0.0,True
5,/home/wy/Work/ktransformers/artifacts/running-server-bench/dynamic-v5-reprobe-ceiling-engine-low-compute20-to-none-transition-token-exact-cycle05-20260719,high-to-low,cpu,151.26538658517035,23.04858306752829,6914.99902002397,43.38661500666553,32903.65017901058,14,739.715084,46,1858.899376,,,,,,14.786794453591494,28.86711615519999,1.9522227245262476,14.709127875841341,28.37537735654517,1.9290999164640914,600,600,600,True,600,164.0,436.0,32,1,0.0,True
