backend,decode_tps_ci95_high,decode_tps_ci95_low,decode_tps_mean,decode_tps_p50,decode_tps_p95,decode_tps_stdev,e2e_ms_ci95_high,e2e_ms_ci95_low,e2e_ms_mean,e2e_ms_p50,e2e_ms_p95,e2e_ms_stdev,load,n,prefill_tps_ci95_high,prefill_tps_ci95_low,prefill_tps_mean,prefill_tps_p50,prefill_tps_p95,prefill_tps_stdev,topt_ms_ci95_high,topt_ms_ci95_low,topt_ms_mean,topt_ms_p50,topt_ms_p95,topt_ms_stdev,ttft_ms_ci95_high,ttft_ms_ci95_low,ttft_ms_mean,ttft_ms_p50,ttft_ms_p95,ttft_ms_stdev,workload
vnni-only,1.7848810983302315,1.7848810983302315,1.7848810983302315,1.7848810983302315,1.7848810983302315,0.0,10719.768525999825,10719.768525999825,10719.768525999825,10719.768525999825,10719.768525999825,0.0,compute-8,1,6.4772918495663925,6.4772918495663925,6.4772918495663925,6.4772918495663925,6.4772918495663925,0.0,560.2614095333896,560.2614095333896,560.2614095333896,560.2614095333896,560.2614095333896,0.0,2315.782636998847,2315.782636998847,2315.782636998847,2315.782636998847,2315.782636998847,0.0,p1-o16
vnni-only,2.6235531168180786,2.6235531168180786,2.6235531168180786,2.6235531168180786,2.6235531168180786,0.0,16361.117745000229,16361.117745000229,16361.117745000229,16361.117745000229,16361.117745000229,0.0,compute-8,1,97.80517610325475,97.80517610325475,97.80517610325475,97.80517610325475,97.80517610325475,0.0,381.16247526668303,381.16247526668303,381.16247526668303,381.16247526668303,381.16247526668303,0.0,10643.608461999975,10643.608461999975,10643.608461999975,10643.608461999975,10643.608461999975,0.0,p1024-o16
vnni-only,23.14902541761276,23.14902541761276,23.14902541761276,23.14902541761276,23.14902541761276,0.0,922.949026000424,922.949026000424,922.949026000424,922.949026000424,922.949026000424,0.0,none,1,43.65177874609867,43.65177874609867,43.65177874609867,43.65177874609867,43.65177874609867,0.0,43.19836286667851,43.19836286667851,43.19836286667851,43.19836286667851,43.19836286667851,0.0,274.9028870002803,274.9028870002803,274.9028870002803,274.9028870002803,274.9028870002803,0.0,p1-o16
vnni-only,22.808338434774353,22.808338434774353,22.808338434774353,22.808338434774353,22.808338434774353,0.0,5472.243805999824,5472.243805999824,5472.243805999824,5472.243805999824,5472.243805999824,0.0,none,1,215.59930373897464,215.59930373897464,215.59930373897464,215.59930373897464,215.59930373897464,0.0,43.84361459997308,43.84361459997308,43.84361459997308,43.84361459997308,43.84361459997308,0.0,4814.486790999581,4814.486790999581,4814.486790999581,4814.486790999581,4814.486790999581,0.0,p1024-o16
