load_workers,strategy,metric,unit,blocks,samples,mean,block_stdev,ci95_low,ci95_high
0,dynamic,prefill_tps,token/s,1,5,167.04049827872296,0.0,163.57204510110307,169.03985552436137
0,dynamic,decode_tps,token/s,1,5,29.483116572724793,0.0,29.25820044115624,29.708032704293345
0,dynamic,ttft_ms,ms,1,5,6267.048739800157,0.0,6190.272958800142,6398.764393400052
0,dynamic,tpot_ms,ms/token,1,5,33.920682414023176,0.0,33.64460828313816,34.17939974524203
0,dynamic,e2e_ms,ms,1,5,26585.61051199995,0.0,26369.244056199932,26863.612682799976
0,packed-cpu-fixed,prefill_tps,token/s,1,5,166.01471774754057,0.0,160.94020863825713,169.79871598360666
0,packed-cpu-fixed,decode_tps,token/s,1,5,29.629302716642496,0.0,29.446124621065657,29.81248081221933
0,packed-cpu-fixed,ttft_ms,ms,1,5,6309.248894799748,0.0,6162.610286199742,6511.501761999716
0,packed-cpu-fixed,tpot_ms,ms/token,1,5,33.75209108013338,0.0,33.54351145676075,33.960670703506025
0,packed-cpu-fixed,e2e_ms,ms,1,5,26526.82422459984,0.0,26291.61314799985,26808.435765199647
0,igpu-fixed,prefill_tps,token/s,1,5,97.4461492907607,0.0,88.87130690885127,102.51266866492355
0,igpu-fixed,decode_tps,token/s,1,5,16.616502527110395,0.0,16.22385064656914,17.127475653066465
0,igpu-fixed,ttft_ms,ms,1,5,10834.213583200011,0.0,10210.141889800014,11926.400810400008
0,igpu-fixed,tpot_ms,ms/token,1,5,60.24213516861435,0.0,58.46478905208676,61.64080830717863
0,igpu-fixed,e2e_ms,ms,1,5,46919.34888340001,0.0,45325.943113999994,48770.331156200016
4,dynamic,prefill_tps,token/s,1,5,169.07481115240262,0.0,168.85813372887853,169.29148857592673
4,dynamic,decode_tps,token/s,1,5,24.155561337453832,0.0,24.077719937640477,24.233402737267188
4,dynamic,ttft_ms,ms,1,5,6188.987566400101,0.0,6182.191121000142,6195.737517199996
4,dynamic,tpot_ms,ms/token,1,5,41.398894168280535,0.0,41.265557506844495,41.53223082971658
4,dynamic,e2e_ms,ms,1,5,30986.99759760002,0.0,30905.91816719989,31068.077028000152
4,packed-cpu-fixed,prefill_tps,token/s,1,5,170.25833699668698,0.0,170.153357910786,170.36550790475573
4,packed-cpu-fixed,decode_tps,token/s,1,5,23.923805817027745,0.0,23.78359041984468,24.064021214210804
4,packed-cpu-fixed,ttft_ms,ms,1,5,6145.956381199721,0.0,6142.878427200412,6149.0343351990305
4,packed-cpu-fixed,tpot_ms,ms/token,1,5,41.80126505141892,0.0,41.55629951652761,42.04623058631023
4,packed-cpu-fixed,e2e_ms,ms,1,5,31184.982572999434,0.0,31038.893677199667,31331.0714687992
4,igpu-fixed,prefill_tps,token/s,1,5,99.32054971196399,0.0,98.89960073696543,99.7368774127028
4,igpu-fixed,decode_tps,token/s,1,5,17.58477368465146,0.0,17.431760269100703,17.748276676066816
4,igpu-fixed,ttft_ms,ms,1,5,10535.835582200025,0.0,10491.658363200031,10580.012801200019
4,igpu-fixed,tpot_ms,ms/token,1,5,56.87352182804672,0.0,56.34857359933223,57.36662180400659
4,igpu-fixed,e2e_ms,ms,1,5,44603.16907419996,0.0,44277.17726599994,44890.46028619995
8,dynamic,prefill_tps,token/s,1,5,164.8328255575002,0.0,163.77098625454477,165.89466486045563
8,dynamic,decode_tps,token/s,1,5,22.408265652973064,0.0,21.160745002839732,23.690704458028694
8,dynamic,ttft_ms,ms,1,5,6348.58843819984,0.0,6310.120210799505,6387.056665600176
8,dynamic,tpot_ms,ms/token,1,5,44.82822539165301,0.0,42.341130524207294,47.25734993823056
8,dynamic,e2e_ms,ms,1,5,33200.76463639998,0.0,31682.433528999718,34666.47108380021
8,packed-cpu-fixed,prefill_tps,token/s,1,5,167.41933420106972,0.0,167.1532743245212,167.73101376180313
8,packed-cpu-fixed,decode_tps,token/s,1,5,24.04498735019251,0.0,24.01458547190569,24.07538922847933
8,packed-cpu-fixed,ttft_ms,ms,1,5,6250.200744399626,0.0,6237.401733399747,6260.123974999806
8,packed-cpu-fixed,tpot_ms,ms/token,1,5,41.58880147078404,0.0,41.536210490483484,41.64139245108459
8,packed-cpu-fixed,e2e_ms,ms,1,5,31161.96077200002,0.0,31138.877345999575,31187.00174120058
8,igpu-fixed,prefill_tps,token/s,1,5,99.83063215312049,0.0,99.62625099650977,99.98827637578243
8,igpu-fixed,decode_tps,token/s,1,5,18.201701596978964,0.0,18.02146509695456,18.381938097003363
8,igpu-fixed,ttft_ms,ms,1,5,10481.797729799973,0.0,10464.428560999932,10503.306284600058
8,igpu-fixed,tpot_ms,ms/token,1,5,54.94686626611018,0.0,54.40309879799656,55.4906337342238
8,igpu-fixed,e2e_ms,ms,1,5,43395.03808560003,0.0,43081.818484200034,43708.25768700002
12,dynamic,prefill_tps,token/s,1,5,129.13455601293353,0.0,128.00873619381773,130.26037583204936
12,dynamic,decode_tps,token/s,1,5,21.059196882298814,0.0,20.981285772716657,21.141825081543423
12,dynamic,ttft_ms,ms,1,5,8103.9490358001785,0.0,8036.294349000127,8171.60372260023
12,dynamic,tpot_ms,ms/token,1,5,47.486118949916076,0.0,47.29624010116841,47.66161113923154
12,dynamic,e2e_ms,ms,1,5,36548.20023300017,0.0,36383.51485600033,36679.94056719999
12,packed-cpu-fixed,prefill_tps,token/s,1,5,125.01027880068793,0.0,120.82075327730551,129.04220567407125
12,packed-cpu-fixed,decode_tps,token/s,1,5,1.8828498751165708,0.0,1.7778718581530324,2.0097022970693
12,packed-cpu-fixed,ttft_ms,ms,1,5,8383.077747999778,0.0,8110.388020600294,8677.929267399304
12,packed-cpu-fixed,tpot_ms,ms/token,1,5,533.7535745268781,0.0,498.3870899729547,563.3736889452417
12,packed-cpu-fixed,e2e_ms,ms,1,5,328101.6827223997,0.0,309098.21721920016,345951.43517340004
12,igpu-fixed,prefill_tps,token/s,1,5,103.27422804200873,0.0,103.08043851495964,103.44407630294161
12,igpu-fixed,decode_tps,token/s,1,5,18.673355890729244,0.0,18.62932012801548,18.718990626095675
