load_workers,candidate,baseline,metric,unit,effect,effect_pct,ci95_low,ci95_high
0,dynamic,packed-cpu-fixed,prefill_tps,token/s,improvement,0.6178852966170822,-2.5100853304028434,4.038832345465773
0,dynamic,packed-cpu-fixed,decode_tps,token/s,improvement,-0.493383679378967,-1.5256794755072245,0.520115979464851
0,dynamic,packed-cpu-fixed,ttft_ms,ms,reduction,0.6688617885145409,-2.645847300247972,3.9722188817264192
0,dynamic,packed-cpu-fixed,tpot_ms,ms/token,reduction,-0.49949893027227965,-1.5515859899795537,0.5225473064689679
0,dynamic,packed-cpu-fixed,e2e_ms,ms,reduction,-0.22161072468520615,-1.6143656181516919,1.1153343187414726
0,dynamic,igpu-fixed,prefill_tps,token/s,improvement,71.41826485139605,61.45312773886535,88.7633712651223
0,dynamic,igpu-fixed,decode_tps,token/s,improvement,77.4327450955583,71.8893819006098,82.11138578575799
0,dynamic,igpu-fixed,ttft_ms,ms,reduction,42.15501945136002,38.11444638117125,47.57638708088207
0,dynamic,igpu-fixed,tpot_ms,ms/token,reduction,43.69276201933896,41.912680705957456,45.09009918026467
0,dynamic,igpu-fixed,e2e_ms,ms,reduction,43.33763970581038,41.22860991368546,45.4900048363537
4,dynamic,packed-cpu-fixed,prefill_tps,token/s,improvement,-0.6951353250369108,-0.8403033159638862,-0.5567588985218412
4,dynamic,packed-cpu-fixed,decode_tps,token/s,improvement,0.9687234639780273,0.2917525844768676,1.6498643597339548
4,dynamic,packed-cpu-fixed,ttft_ms,ms,reduction,-0.7001544191236109,-0.8232242423717584,-0.5755662909697978
4,dynamic,packed-cpu-fixed,tpot_ms,ms/token,reduction,0.9625806363597889,0.29236646460983895,1.611222443622097
4,dynamic,packed-cpu-fixed,e2e_ms,ms,reduction,0.6348728107702484,0.10247226295915235,1.1667043287897807
4,dynamic,igpu-fixed,prefill_tps,token/s,improvement,70.23144922448625,69.47313143363384,71.0007024102574
4,dynamic,igpu-fixed,decode_tps,token/s,improvement,37.36634756088763,36.01406469911193,38.62952931181236
4,dynamic,igpu-fixed,ttft_ms,ms,reduction,41.25774345932079,41.00047286164568,41.51666180332264
4,dynamic,igpu-fixed,tpot_ms,ms/token,reduction,27.208843698044028,26.478124456227203,27.869545153916885
4,dynamic,igpu-fixed,e2e_ms,ms,reduction,30.527363322432656,30.009351062302542,31.003043929451152
8,dynamic,packed-cpu-fixed,prefill_tps,token/s,improvement,-1.5449282819767651,-2.2009137915100063,-0.8756495186024651
8,dynamic,packed-cpu-fixed,decode_tps,token/s,improvement,-6.806914361742599,-12.012572894821961,-1.4879997997764516
8,dynamic,packed-cpu-fixed,ttft_ms,ms,reduction,-1.5741525404343593,-2.2467035648998213,-0.9277184034040431
8,dynamic,packed-cpu-fixed,tpot_ms,ms/token,reduction,-7.789173542653427,-13.645563507127807,-1.8166378103409708
8,dynamic,packed-cpu-fixed,e2e_ms,ms,reduction,-6.542604553407583,-11.25186524480471,-1.695805156969357
8,dynamic,igpu-fixed,prefill_tps,token/s,improvement,65.11247299794634,63.98039692958128,66.23054713164342
8,dynamic,igpu-fixed,decode_tps,token/s,improvement,23.11082858699478,15.986584305469908,30.581910721812267
8,dynamic,igpu-fixed,ttft_ms,ms,reduction,39.43225578422803,39.043071566870616,39.815893803395234
8,dynamic,igpu-fixed,tpot_ms,ms/token,reduction,18.415319311299992,13.814438921471483,23.143656568922776
8,dynamic,igpu-fixed,e2e_ms,ms,reduction,23.491795142778916,20.004098307139174,27.10855031321129
12,dynamic,packed-cpu-fixed,prefill_tps,token/s,improvement,3.2991504793147497,-0.0025851844023277904,7.172808474163617
12,dynamic,packed-cpu-fixed,decode_tps,token/s,improvement,1018.4745613876942,949.2682094258224,1086.0082152473376
12,dynamic,packed-cpu-fixed,ttft_ms,ms,reduction,3.3296686561949174,0.005185168923815278,6.736782461594837
12,dynamic,packed-cpu-fixed,tpot_ms,ms/token,reduction,91.10336282206484,90.47901153594043,91.57896199015238
12,dynamic,packed-cpu-fixed,e2e_ms,ms,reduction,88.86070929909772,88.10963370338327,89.44554879891537
12,dynamic,igpu-fixed,prefill_tps,token/s,improvement,25.040446645029025,23.947543802763537,26.137924975959912
