strategy,block,sample,artifact,prefill_tps,decode_tps,ttft_ms,tpot_ms,e2e_ms,cpu_busy_fraction,cpu_psi_some_fraction,completion_tokens,load_workers,load,sweep_artifact
dynamic,1,1,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/dynamic-pilot-b1-20260720/runs/06-compute4,169.3208790108572,24.240368188301275,6177.61971300024,41.253498801334764,30888.542761999815,0.6274296830671963,0.0003311578025470869,600,4,compute4,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/dynamic-pilot-b1-20260720
dynamic,1,2,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/dynamic-pilot-b1-20260720/runs/06-compute4,168.8546293141642,24.05327851498143,6194.6776599997975,41.57437412854786,31097.802403999594,0.6270624406419523,0.00019621933044836146,600,4,compute4,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/dynamic-pilot-b1-20260720
dynamic,1,3,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/dynamic-pilot-b1-20260720/runs/06-compute4,169.32380497727647,24.131757676185075,6183.418806000191,41.43916963772891,31005.553238000175,0.6275553834486987,0.00019528726798241858,600,4,compute4,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/dynamic-pilot-b1-20260720
dynamic,1,4,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/dynamic-pilot-b1-20260720/runs/06-compute4,168.70666755634898,24.27725981677415,6200.110613000106,41.190810146912014,30873.47603699982,0.6267204902485288,0.0001848509230443409,600,4,compute4,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/dynamic-pilot-b1-20260720
dynamic,1,5,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/dynamic-pilot-b1-20260720/runs/06-compute4,169.16807490336626,24.075142491027233,6189.111040000171,41.53661812687914,31069.6135470007,0.6306165520130174,0.00031896065195522014,600,4,compute4,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/dynamic-pilot-b1-20260720
packed-cpu-fixed,1,1,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/packed-cpu-fixed-pilot-b1-20260720/runs/06-compute4,170.32658455472557,23.935382849365265,6141.14351399985,41.77915207345508,31166.922013999283,0.6247710549146879,0.00014544241543050705,600,4,compute4,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/packed-cpu-fixed-pilot-b1-20260720
packed-cpu-fixed,1,2,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/packed-cpu-fixed-pilot-b1-20260720/runs/06-compute4,170.1927025357882,24.15336976248422,6145.974442000806,41.402090467444076,30945.898100000704,0.6258718060747286,0.0002050025830756867,600,4,compute4,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/packed-cpu-fixed-pilot-b1-20260720
packed-cpu-fixed,1,3,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/packed-cpu-fixed-pilot-b1-20260720/runs/06-compute4,170.2538129273607,23.734014248851764,6149.642007998409,42.13362263606037,31387.74988699879,0.6246989969221937,0.00014413241633645855,600,4,compute4,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/packed-cpu-fixed-pilot-b1-20260720
packed-cpu-fixed,1,4,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/packed-cpu-fixed-pilot-b1-20260720/runs/06-compute4,170.08250082113875,24.03899184836016,6149.956608998764,41.59908228714741,31067.87508599882,0.6248932020053842,0.00015295517339199515,600,4,compute4,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/packed-cpu-fixed-pilot-b1-20260720
packed-cpu-fixed,1,5,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/packed-cpu-fixed-pilot-b1-20260720/runs/06-compute4,170.43608414442164,23.757270376077305,6143.065333000777,42.09237779298766,31356.46777799957,0.6249920214463522,0.0001923364024954276,600,4,compute4,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/packed-cpu-fixed-pilot-b1-20260720
igpu-fixed,1,1,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/igpu-fixed-pilot-b1-20260720/runs/06-compute4,99.40847022107474,17.854665089089085,10522.24219599998,56.00777135893163,44070.96484599992,0.3030417209015551,0.028233952261412197,600,4,compute4,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/igpu-fixed-pilot-b1-20260720
igpu-fixed,1,2,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/igpu-fixed-pilot-b1-20260720/runs/06-compute4,99.61321188812809,17.469957307346764,10500.615131000131,57.24112442904843,44788.11614300002,0.30283207288884895,0.028063707216335835,600,4,compute4,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/igpu-fixed-pilot-b1-20260720
igpu-fixed,1,3,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/igpu-fixed-pilot-b1-20260720/runs/06-compute4,100.02474653309156,17.422564105323755,10467.409678999957,57.39683286310499,44848.32005399994,0.3020860188537545,0.02664735514415319,600,4,compute4,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/igpu-fixed-pilot-b1-20260720
igpu-fixed,1,4,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/igpu-fixed-pilot-b1-20260720/runs/06-compute4,98.66423593958672,17.421857913754625,10601.612530000011,57.399159432387286,44983.77258999994,0.30136940435932635,0.028525782920984375,600,4,compute4,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/igpu-fixed-pilot-b1-20260720
igpu-fixed,1,5,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/igpu-fixed-pilot-b1-20260720/runs/06-compute4,98.89208397793884,17.754824007743057,10587.298375000046,56.32272105676125,44324.671738000005,0.30352082341472264,0.02741395324831226,600,4,compute4,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/igpu-fixed-pilot-b1-20260720
dynamic,1,1,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/dynamic-pilot-b1-20260720/runs/05-compute8,164.61288906414657,21.183156445819638,6354.30193799948,47.2073178781316,34631.56061100017,0.5519095666252276,0.0022288014661626934,600,8,compute8,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/dynamic-pilot-b1-20260720
dynamic,1,2,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/dynamic-pilot-b1-20260720/runs/05-compute8,163.0651587744919,21.17103016688549,6414.613691000341,47.234357143571714,34708.05894000023,0.5509120295543755,0.002979678056129143,600,8,compute8,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/dynamic-pilot-b1-20260720
dynamic,1,3,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/dynamic-pilot-b1-20260720/runs/05-compute8,166.02291985132297,21.139254117304024,6306.358187999649,47.305358762938894,34642.338464000204,0.5499812155015461,0.001555262152355777,600,8,compute8,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/dynamic-pilot-b1-20260720
dynamic,1,4,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/dynamic-pilot-b1-20260720/runs/05-compute8,164.05586232979678,24.180585240655265,6375.877004000358,41.355492021701835,31147.883159999765,0.8223958082196184,0.005968678254015093,600,8,compute8,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/dynamic-pilot-b1-20260720
dynamic,1,5,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/dynamic-pilot-b1-20260720/runs/05-compute8,166.4072977677428,24.367302294200904,6291.791369999373,41.03860115192098,30873.98200699954,0.8283210257242555,0.0008231188946667723,600,8,compute8,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/dynamic-pilot-b1-20260720
packed-cpu-fixed,1,1,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/packed-cpu-fixed-pilot-b1-20260720/runs/05-compute8,168.01669281373782,24.001159017331354,6225.571891000072,41.66465458096816,31182.764896000663,0.8247465741320867,0.0003686966284716544,600,8,compute8,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/packed-cpu-fixed-pilot-b1-20260720
packed-cpu-fixed,1,2,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/packed-cpu-fixed-pilot-b1-20260720/runs/05-compute8,167.28516082124798,24.006974140933696,6252.796093000143,41.65456230049937,31203.949122000267,0.8257681508223025,0.0005215677390162525,600,8,compute8,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/packed-cpu-fixed-pilot-b1-20260720
packed-cpu-fixed,1,3,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/packed-cpu-fixed-pilot-b1-20260720/runs/05-compute8,167.55421196968376,24.05666104299835,6248.723846998473,41.56852849248788,31148.345673998847,0.8251338015718671,0.00041405015405754554,600,8,compute8,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/packed-cpu-fixed-pilot-b1-20260720
packed-cpu-fixed,1,4,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/packed-cpu-fixed-pilot-b1-20260720/runs/05-compute8,167.0507783981184,24.06574110445655,6261.569147000046,41.5528445876457,31151.792954000484,0.8251193135254133,0.0004247902399494284,600,8,compute8,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/packed-cpu-fixed-pilot-b1-20260720
packed-cpu-fixed,1,5,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/packed-cpu-fixed-pilot-b1-20260720/runs/05-compute8,167.1898270025606,24.09440144524261,6262.3427439993975,41.50341739231907,31122.95121399984,0.8252513067953358,0.0003540468315952504,600,8,compute8,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/packed-cpu-fixed-pilot-b1-20260720
igpu-fixed,1,1,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/igpu-fixed-pilot-b1-20260720/runs/05-compute8,99.42839094276545,18.465435111972948,10520.13403900014,54.15523619866408,42959.188023000024,0.49468525756957005,0.03831459843192198,600,8,compute8,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/igpu-fixed-pilot-b1-20260720
