load_workers,strategy,block,n,prefill_tps,decode_tps,ttft_ms,tpot_ms,e2e_ms,cpu_busy_fraction,cpu_psi_some_fraction
0,dynamic,1,5,167.04049827872296,29.483116572724793,6267.048739800157,33.920682414023176,26585.61051199995,0.430635970590641,0.0003296446788037163
0,packed-cpu-fixed,1,5,166.01471774754057,29.629302716642496,6309.248894799748,33.75209108013338,26526.82422459984,0.43557627956777784,0.000339744664032505
0,igpu-fixed,1,5,97.4461492907607,16.616502527110395,10834.213583200011,60.24213516861435,46919.34888340001,0.11562163845741905,0.0024577590795988717
4,dynamic,1,5,169.07481115240262,24.155561337453832,6188.987566400101,41.398894168280535,30986.99759760002,0.6278769098838787,0.0002452951951954856
4,packed-cpu-fixed,1,5,170.25833699668698,23.923805817027745,6145.956381199721,41.80126505141892,31184.982572999434,0.6250454162726693,0.00016797379814601502
4,igpu-fixed,1,5,99.32054971196399,17.58477368465146,10535.835582200025,56.87352182804672,44603.16907419996,0.30257000808364154,0.027776950158239572
8,dynamic,1,5,164.8328255575002,22.408265652973064,6348.58843819984,44.82822539165301,33200.76463639998,0.6607039291250046,0.0027111077646658956
8,packed-cpu-fixed,1,5,167.41933420106972,24.04498735019251,6250.200744399626,41.58880147078404,31161.96077200002,0.8252038293694011,0.00041663031861802625
8,igpu-fixed,1,5,99.83063215312049,18.201701596978964,10481.797729799973,54.94686626611018,43395.03808560003,0.49336157000332703,0.03679075745045295
12,dynamic,1,5,129.13455601293353,21.059196882298814,8103.9490358001785,47.486118949916076,36548.20023300017,0.7532371948752316,0.016241328595732202
12,packed-cpu-fixed,1,5,125.01027880068793,1.8828498751165708,8383.077747999778,533.7535745268781,328101.6827223997,0.9991732273887038,0.0578303574100264
12,igpu-fixed,1,5,103.27422804200873,18.673355890729244,10132.279999599972,53.55265204974965,42210.3882996,0.6989008175400432,0.020633124544942046
16,dynamic,1,5,98.01727773377299,19.662427282256992,10688.020462199893,53.201193295158475,42555.6029542,0.9228983277693704,0.08542034249973933
16,packed-cpu-fixed,1,5,90.88763400188571,1.4411560342999805,11518.445719199735,694.1525167569287,427315.88956299966,0.9993452168747616,0.24922172678476784
16,igpu-fixed,1,5,101.68062606420173,18.894988658006405,10293.655000599938,52.924456360267165,41995.48684500001,0.8947040515634281,0.02384751069148668
20,dynamic,1,5,79.54864115365658,13.446601881098621,13223.02586079968,76.39041633789682,58981.13595759969,0.996192847678623,0.20301441233460546
20,packed-cpu-fixed,1,5,71.57684757000109,1.394914375337943,14644.211899799484,717.1218721061772,444200.3054576002,0.9990324284603016,0.42040127179534775
20,igpu-fixed,1,5,96.6254683935728,13.539037262679852,10835.3701258,73.8747734637729,55087.09805719998,0.9947036481382318,0.12943673611698736
