strategy,block,n,prefill_tps,decode_tps,ttft_ms,tpot_ms,e2e_ms,cpu_busy_fraction,cpu_psi_some_fraction
igpu-fixed,1,5,71.31718236618231,13.130171514947714,14688.421578402631,76.25726577294299,60366.79021900054,0.9902097246666284,0.13952332614737856
igpu-fixed,2,5,83.25897779420079,13.494091448792654,12570.165231794817,74.24303729049021,57041.82361619896,0.9909912157418521,0.1375002289397886
dynamic-v5-telemetry,1,5,145.41156222107858,15.395746830122249,7205.66707860562,65.04246797895593,46166.17275479366,0.9899141791927132,0.1725521976967886
phase-fixed,1,5,143.7870503051368,16.34717632321705,7276.407111797016,61.434943615686294,44076.00187800126,0.9908178895338174,0.16716730792187415
dynamic-v5,1,5,142.0897336019557,16.310417275057915,7363.720520603238,61.56296168747654,44239.99254300143,0.9927295356060087,0.17001673379293075
