strategy,block,sample,artifact,prefill_tps,decode_tps,ttft_ms,tpot_ms,e2e_ms,cpu_busy_fraction,cpu_psi_some_fraction,completion_tokens
igpu-fixed,1,1,/home/wy/Work/ktransformers/artifacts/running-server-bench/igpu-fixed-engine-low-compute20-steady-a1-n5-20260719,67.22911169237106,12.874810846124696,15558.735995000461,77.67104402166801,62084.74447898334,0.9939888156516414,0.13641191408627498,600
igpu-fixed,1,2,/home/wy/Work/ktransformers/artifacts/running-server-bench/igpu-fixed-engine-low-compute20-steady-a1-n5-20260719,69.2874283971041,13.411911770150297,15096.533731993986,74.56058592822026,59758.38594700326,0.9939038686987104,0.1360354347729194,600
igpu-fixed,1,3,/home/wy/Work/ktransformers/artifacts/running-server-bench/igpu-fixed-engine-low-compute20-steady-a1-n5-20260719,74.26790552358723,13.900418666700176,14084.145669999998,71.94027920868302,57176.45158598316,0.9906370318515926,0.1371414334832909,600
igpu-fixed,1,4,/home/wy/Work/ktransformers/artifacts/running-server-bench/igpu-fixed-engine-low-compute20-steady-a1-n5-20260719,71.8348336144698,12.561412818311695,14561.180800024886,79.6088795475479,62246.96678502369,0.9830699229866392,0.14800525487748423,600
igpu-fixed,1,5,/home/wy/Work/ktransformers/artifacts/running-server-bench/igpu-fixed-engine-low-compute20-steady-a1-n5-20260719,73.96663260337931,12.9023034734517,14141.511694993824,77.50554015859572,60567.402298009256,0.989448984144558,0.14002259351692334,600
igpu-fixed,2,1,/home/wy/Work/ktransformers/artifacts/running-server-bench/igpu-fixed-engine-low-compute20-steady-a2-n5-20260719,80.17391451237775,14.473502080173674,13046.637505001854,69.09177851087168,54432.68814100884,0.9920670668370302,0.13514970804718918,600
igpu-fixed,2,2,/home/wy/Work/ktransformers/artifacts/running-server-bench/igpu-fixed-engine-low-compute20-steady-a2-n5-20260719,84.9318069678201,13.360574637356702,12315.762931975769,74.84708009518991,57149.25515599316,0.9910696306154075,0.13193690858745982,600
igpu-fixed,2,3,/home/wy/Work/ktransformers/artifacts/running-server-bench/igpu-fixed-engine-low-compute20-steady-a2-n5-20260719,85.73064687547762,13.726022902587331,12201.004403003026,72.8543152737638,55840.83589501097,0.9915950573919589,0.13947639805395262,600
igpu-fixed,2,4,/home/wy/Work/ktransformers/artifacts/running-server-bench/igpu-fixed-engine-low-compute20-steady-a2-n5-20260719,82.90704077236444,12.737503676696884,12616.540046001319,78.50831884975142,59643.086516996846,0.9897668176480456,0.14134063536338504,600
igpu-fixed,2,5,/home/wy/Work/ktransformers/artifacts/running-server-bench/igpu-fixed-engine-low-compute20-steady-a2-n5-20260719,82.55147984296408,13.172853947148674,12670.88127299212,75.91369372287427,58143.252371985,0.9904575062168185,0.1395974946469564,600
