strategy,block,n,prefill_tps,decode_tps,ttft_ms,tpot_ms,e2e_ms,cpu_busy_fraction,cpu_psi_some_fraction
dynamic-v5,1,5,169.54655701487022,29.686227089328423,6169.40055959858,33.68568511586287,26347.190585004864,0.4302441960105508,0.0002337192675601786
phase-fixed,1,5,168.28830994083657,19.434749142972528,6215.985254605766,51.52005844774582,37076.59688900458,0.14524586246118348,0.0012105243561782533
packed-cpu-fixed,1,5,169.8195176888592,29.858198365183398,6159.547261398984,33.491808981298455,26221.208036190365,0.4300960029042863,0.00023741827161524363
