completion_tokens_ci95_high,completion_tokens_ci95_low,completion_tokens_mean,completion_tokens_median,completion_tokens_p95,completion_tokens_stdev,decode_tps_ci95_high,decode_tps_ci95_low,decode_tps_mean,decode_tps_median,decode_tps_p95,decode_tps_stdev,e2e_ms_ci95_high,e2e_ms_ci95_low,e2e_ms_mean,e2e_ms_median,e2e_ms_p95,e2e_ms_stdev,error_count,n,output_phase_ms_ci95_high,output_phase_ms_ci95_low,output_phase_ms_mean,output_phase_ms_median,output_phase_ms_p95,output_phase_ms_stdev,prefill_tps_ci95_high,prefill_tps_ci95_low,prefill_tps_mean,prefill_tps_median,prefill_tps_p95,prefill_tps_stdev,prompt_tokens_ci95_high,prompt_tokens_ci95_low,prompt_tokens_mean,prompt_tokens_median,prompt_tokens_p95,prompt_tokens_stdev,requested_output_tokens,target_prompt_tokens,tpot_ms_ci95_high,tpot_ms_ci95_low,tpot_ms_mean,tpot_ms_median,tpot_ms_p95,tpot_ms_stdev,ttft_ms_ci95_high,ttft_ms_ci95_low,ttft_ms_mean,ttft_ms_median,ttft_ms_p95,ttft_ms_stdev,ttlt_ms_ci95_high,ttlt_ms_ci95_low,ttlt_ms_mean,ttlt_ms_median,ttlt_ms_p95,ttlt_ms_stdev,workload
300.0,300.0,300.0,300.0,300.0,0.0,24.160553581287996,23.71285543739301,23.976216517680086,24.075335268843137,24.191930410037678,0.30170896606738923,12726.112949798699,12479.251195595134,12577.491135397577,12518.768688998534,12809.694237800431,169.34551719638918,0,5,12611.519256600877,12377.892272398458,12472.29439720104,12419.349374002195,12690.326583801652,159.2252392727653,10.115760772965636,8.804201559846584,9.57812125480045,10.06464876090183,10.131113234107694,0.8490070415766767,1.0,1.0,1.0,1.0,1.0,0.0,300,1,42.1968883043525,41.39763301805504,41.71335918796335,41.53628553177992,42.44256382542359,0.5325258838554033,114.52611940039787,98.87301719572861,105.13049039873295,99.35766500711907,119.29915380023884,10.248711891335583,12729.928649205249,12476.748559396947,12577.424887599773,12518.707039009314,12809.625737601891,169.3440675094191,p1-o300
300.0,300.0,300.0,300.0,300.0,0.0,24.21177555787874,23.9271906454358,24.07585525082187,24.101301310286935,24.265527567720188,0.1873869726278349,18871.143918207963,18698.107543619626,18778.178368200315,18757.658928007004,18910.98801100743,111.52454080597703,0,5,12494.510425400222,12349.596631206805,12419.685311001376,12405.969127998105,12543.78283979604,97.03266075349427,165.02348045700612,163.82777768712816,164.50895827737696,164.6822578706802,165.19628631261415,0.7743300890029873,1046.0,1046.0,1046.0,1046.0,1046.0,0.0,300,1024,41.81660371504523,41.30299876657794,41.537409066894234,41.49153554514417,41.95245096921752,0.324523949008342,6385.91796499968,6338.518213795032,6358.42952139792,6351.625327006332,6398.208153402084,30.053355660109187,18864.56061299832,18691.90774660092,18778.114832399297,18757.594455004437,18910.92403839866,111.52361555921787,p1024-o300
300.0,300.0,300.0,300.0,300.0,0.0,24.142647678987704,23.96027821556246,24.065585224949647,24.082668753923095,24.159057366168206,0.12370885271541482,25170.955010995385,25018.998080149177,25092.427629599115,25080.116088996874,25217.855511792004,98.84398770861725,0,5,12479.619950402412,12384.482035404653,12424.64501360082,12415.567520991317,12510.793130201637,64.19809938176795,164.18367944739887,162.6555620622649,163.4125542871978,162.94083162037322,164.49792463797235,1.0124103626454923,2070.0,2070.0,2070.0,2070.0,2070.0,0.0,300,2048,41.73785936589435,41.420564106369646,41.553996701006085,41.52363719395089,41.842117492313164,0.2147093624808294,12725.966399992467,12609.093908805517,12667.714049600181,12703.998005992617,12748.118689193507,78.41454320768258,25170.887105402653,25018.926963800914,25092.359063201002,25080.042089000926,25217.787748001865,98.84270281854289,p2048-o300
300.0,300.0,300.0,300.0,300.0,0.0,24.047147661398093,23.618883401300135,23.833015531349112,23.738370855639847,24.131384745005192,0.27326105507324205,37847.84061440732,37490.61480499804,37676.29256080254,37608.87895300402,37932.690593609004,236.10450148453614,0,5,12655.617998802336,12434.426969799097,12546.937831200194,12595.641117004561,12681.146627198905,143.47300553147616,164.65115706206595,163.10424338707153,163.87770022456874,164.06099574334402,164.9773686069351,1.0281881812000444,4118.0,4118.0,4118.0,4118.0,4118.0,0.0,300,4096,42.326481601345606,41.58671227357557,41.96300277993376,42.12589002342663,42.411861629427776,0.4798428278644676,25257.383817603113,25015.23478619929,25129.287518397905,25100.42061698914,25319.11390660389,157.86042571746546,37866.86764960468,37501.56092339312,37676.2253495981,37608.81434699695,37932.62226440711,236.10351171955728,p4096-o300
300.0,300.0,300.0,300.0,300.0,0.0,24.20369232655559,24.12990305944886,24.159305354043113,24.138289850684085,24.229166544669702,0.05102123479081204,62422.10064059764,62053.64326419949,62237.871952398564,62210.47397899383,62536.142673998256,244.44397226228332,0,5,12391.27024504327,12353.3647328004,12376.227704601479,12386.958721996052,12394.82771900366,26.07363510113262,165.3062405338836,164.16522294019387,164.74279641166027,164.86516838948603,165.46444671689858,0.7516364048212508,8214.6,8214.0,8214.2,8214.0,8214.8,0.4472135954999579,300,8192,41.442038470908,41.31560111304482,41.392065901677185,41.42795559196004,41.454273307704554,0.08720279298037567,50046.52644880407,49701.06568075011,49861.58124759968,49822.53122499969,50147.19900600612,226.73422357080804,62433.76796160301,62062.02777500388,62237.80895220116,62210.410888001206,62536.0789302038,244.443053376688,p8192-o300
