completion_tokens_ci95_high,completion_tokens_ci95_low,completion_tokens_mean,completion_tokens_median,completion_tokens_p95,completion_tokens_stdev,decode_tps_ci95_high,decode_tps_ci95_low,decode_tps_mean,decode_tps_median,decode_tps_p95,decode_tps_stdev,e2e_ms_ci95_high,e2e_ms_ci95_low,e2e_ms_mean,e2e_ms_median,e2e_ms_p95,e2e_ms_stdev,error_count,n,output_phase_ms_ci95_high,output_phase_ms_ci95_low,output_phase_ms_mean,output_phase_ms_median,output_phase_ms_p95,output_phase_ms_stdev,prefill_tps_ci95_high,prefill_tps_ci95_low,prefill_tps_mean,prefill_tps_median,prefill_tps_p95,prefill_tps_stdev,prompt_tokens_ci95_high,prompt_tokens_ci95_low,prompt_tokens_mean,prompt_tokens_median,prompt_tokens_p95,prompt_tokens_stdev,requested_output_tokens,target_prompt_tokens,tpot_ms_ci95_high,tpot_ms_ci95_low,tpot_ms_mean,tpot_ms_median,tpot_ms_p95,tpot_ms_stdev,ttft_ms_ci95_high,ttft_ms_ci95_low,ttft_ms_mean,ttft_ms_median,ttft_ms_p95,ttft_ms_stdev,ttlt_ms_ci95_high,ttlt_ms_ci95_low,ttlt_ms_mean,ttlt_ms_median,ttlt_ms_p95,ttlt_ms_stdev,workload
300.0,300.0,300.0,300.0,300.0,0.0,23.032678203342176,20.23898764633816,21.715135165017987,21.538717480920173,23.413389265183703,1.8991648341234622,15044.674371997826,13120.116895996034,14004.130610998254,14010.291568003595,15676.067295999383,1292.2420400009064,0,5,14893.307998595992,12994.491803404526,13858.838888801984,13881.977897006436,15522.55281799298,1284.3098683430749,7.96944673824512,5.873609658733201,7.155929720294486,7.798473835288335,8.130856761939263,1.3707035574449387,1.0,1.0,1.0,1.0,1.0,0.0,300,1,49.81518618393196,43.459838807373,46.35063173512369,46.42801972242955,51.914892367869506,4.2953507302443965,177.3410763940774,125.55477839487139,145.2200963976793,128.23021800431889,194.66082539292984,35.9063731645201,15044.599596198532,13120.246146799764,14004.058985199663,14010.208115010755,15675.990419599111,1292.2366069021575,p1-o300
300.0,300.0,300.0,300.0,300.0,0.0,24.307703610697065,24.069366927878896,24.20685929625899,24.247634546212826,24.331853519869497,0.1538444603327973,17350.142662398866,17118.7653222034,17211.709155200515,17171.710187001736,17428.17579539842,159.20570328928363,0,5,12424.958353998954,12302.678159202333,12352.272641999298,12331.099738003104,12458.215245601605,79.02397843542109,218.58997193507867,211.9761150414607,215.32487580325105,215.6470875455694,219.38484320617872,4.323566932602804,1046.0,1046.0,1046.0,1046.0,1046.0,0.0,300,1024,41.54810349698946,41.1394023157175,41.311948635449156,41.24113624750202,41.666271724420085,0.26429424225893416,4936.193659799756,4785.434769207495,4859.354933403665,4850.517630009563,4982.105280196993,98.30752743599524,17350.12366449104,17118.688457206008,17211.627575402963,17171.63303399866,17428.079454999533,159.19504881046544,p1024-o300
300.0,300.0,300.0,300.0,300.0,0.0,24.28121334219656,24.097147254607002,24.189669139322255,24.20151331557061,24.321552196430005,0.11957822812765603,21817.755290999776,21646.087270401767,21728.593536198605,21752.865567992558,21866.708506198484,116.6551322008612,0,5,12408.178392003174,12313.602218395681,12360.890305199428,12354.599322003196,12429.973998005153,61.118780776085785,222.52843361443007,218.54197721519668,221.00122234850534,222.1694371491875,222.6729301878745,2.7304181672356274,2070.0,2070.0,2070.0,2070.0,2070.0,0.0,300,2048,41.49892438797048,41.18261611503573,41.3407702515031,41.31973017392373,41.57181939132158,0.20441063804710868,9473.520035602269,9302.189356004237,9367.625667201355,9317.213143993285,9529.48855360155,117.53037190032909,21817.682062403765,21646.007810201263,21728.515972400783,21752.78770099976,21866.6399860027,116.65943204215274,p2048-o300
300.0,300.0,300.0,300.0,300.0,0.0,24.06792267231129,21.260084716526897,23.0987030056172,23.990595264929162,24.10753051226657,2.0549666008903813,33993.29537220183,30965.743260999443,32012.045886801207,31048.906429001363,34994.88222320215,2203.8997377660467,0,5,14223.20605579589,12423.226050203084,13038.150891999248,12463.217219003127,14815.507976792285,1316.587947455416,222.5187324011582,208.53950933245218,217.39961550949948,222.11554564282002,222.72350420897368,9.654290491850531,4118.0,4118.0,4118.0,4118.0,4118.0,0.0,300,4096,47.545953109676645,41.549251004023695,43.60585582608444,41.68300073245193,49.55019390231534,4.403304172091693,19786.87213200901,18506.3312889979,18973.816138404072,18539.899979004986,20201.91597401281,893.5001004356722,33993.97002120386,30965.661090202047,32011.96703040332,31048.827651000465,34994.80103000533,2203.8963463146183,p4096-o300
300.0,300.0,300.0,300.0,300.0,0.0,23.618116903892,23.325327866532348,23.484330898535223,23.46040868513133,23.69312319771951,0.19649566787251,50038.73166399403,49401.68401199917,49719.8444729991,49468.46772400022,50226.48984619882,428.5892545919397,0,5,12819.365560397273,12647.306561600999,12732.608864197391,12744.876016993658,12863.852222196874,106.87418715971303,223.6270048986195,220.54650776956692,222.0976801716975,223.26945489452697,223.77647350646623,2.046989082165056,8214.6,8214.0,8214.2,8214.0,8214.8,0.4472135954999579,300,8192,42.87413230902098,42.34106491973357,42.58397613443943,42.62500340131658,43.02291713109323,0.35743875304252015,37245.93674299831,36727.24547400139,36987.15817480115,36789.62715200032,37363.13300540496,343.20772305075303,50066.987103401334,49401.61039700033,49719.76703899854,49468.405260995496,50226.40176240238,428.5810751999673,p8192-o300
