backend,decode_tps_ci95_high,decode_tps_ci95_low,decode_tps_mean,decode_tps_p50,decode_tps_p95,decode_tps_stdev,e2e_ms_ci95_high,e2e_ms_ci95_low,e2e_ms_mean,e2e_ms_p50,e2e_ms_p95,e2e_ms_stdev,load,n,prefill_tps_ci95_high,prefill_tps_ci95_low,prefill_tps_mean,prefill_tps_p50,prefill_tps_p95,prefill_tps_stdev,topt_ms_ci95_high,topt_ms_ci95_low,topt_ms_mean,topt_ms_p50,topt_ms_p95,topt_ms_stdev,ttft_ms_ci95_high,ttft_ms_ci95_low,ttft_ms_mean,ttft_ms_p50,ttft_ms_p95,ttft_ms_stdev,workload
vnni-only,2.1145308413161703,2.1145308413161703,2.1145308413161703,2.1145308413161703,2.1145308413161703,0.0,4653.837788000601,4653.837788000601,4653.837788000601,4653.837788000601,4653.837788000601,0.0,compute-8,1,10.421845432094832,10.421845432094832,10.421845432094832,10.421845432094832,10.421845432094832,0.0,472.9181435715353,472.9181435715353,472.9181435715353,472.9181435715353,472.9181435715353,0.0,1343.3321470001829,1343.3321470001829,1343.3321470001829,1343.3321470001829,1343.3321470001829,0.0,p1-o8
vnni-only,1.9440370811943404,1.9440370811943404,1.9440370811943404,1.9440370811943404,1.9440370811943404,0.0,14473.316293000607,14473.316293000607,14473.316293000607,14473.316293000607,14473.316293000607,0.0,compute-8,1,95.65430448709982,95.65430448709982,95.65430448709982,95.65430448709982,95.65430448709982,0.0,514.3934802856945,514.3934802856945,514.3934802856945,514.3934802856945,514.3934802856945,0.0,10872.485097001118,10872.485097001118,10872.485097001118,10872.485097001118,10872.485097001118,0.0,p1024-o8
vnni-only,22.58926004928016,22.58926004928016,22.58926004928016,22.58926004928016,22.58926004928016,0.0,605.9064519995445,605.9064519995445,605.9064519995445,605.9064519995445,605.9064519995445,0.0,none,1,37.1691159261563,37.1691159261563,37.1691159261563,37.1691159261563,37.1691159261563,0.0,44.26882499995242,44.26882499995242,44.26882499995242,44.26882499995242,44.26882499995242,0.0,295.9446229997411,295.9446229997411,295.9446229997411,295.9446229997411,295.9446229997411,0.0,p1-o8
vnni-only,21.025198216461412,21.025198216461412,21.025198216461412,21.025198216461412,21.025198216461412,0.0,5298.399936000351,5298.399936000351,5298.399936000351,5298.399936000351,5298.399936000351,0.0,none,1,208.84651759545216,208.84651759545216,208.84651759545216,208.84651759545216,208.84651759545216,0.0,47.561977285762886,47.561977285762886,47.561977285762886,47.561977285762886,47.561977285762886,0.0,4965.368883998963,4965.368883998963,4965.368883998963,4965.368883998963,4965.368883998963,0.0,p1024-o8
vnni-sycl-dynamic,17.491152494123803,17.491152494123803,17.491152494123803,17.491152494123803,17.491152494123803,0.0,2054.9805789996753,2054.9805789996753,2054.9805789996753,2054.9805789996753,2054.9805789996753,0.0,compute-8,1,8.461525719967991,8.461525719967991,8.461525719967991,8.461525719967991,8.461525719967991,0.0,57.17176157122594,57.17176157122594,57.17176157122594,57.17176157122594,57.17176157122594,0.0,1654.5479460000934,1654.5479460000934,1654.5479460000934,1654.5479460000934,1654.5479460000934,0.0,p1-o8
vnni-sycl-dynamic,18.83231292916104,18.83231292916104,18.83231292916104,18.83231292916104,18.83231292916104,0.0,9996.712306001427,9996.712306001427,9996.712306001427,9996.712306001427,9996.712306001427,0.0,compute-8,1,108.05270347785734,108.05270347785734,108.05270347785734,108.05270347785734,108.05270347785734,0.0,53.10022214273756,53.10022214273756,53.10022214273756,53.10022214273756,53.10022214273756,0.0,9624.93270900086,9624.93270900086,9624.93270900086,9624.93270900086,9624.93270900086,0.0,p1024-o8
vnni-sycl-dynamic,28.206118012446492,28.206118012446492,28.206118012446492,28.206118012446492,28.206118012446492,0.0,468.7950520001323,468.7950520001323,468.7950520001323,468.7950520001323,468.7950520001323,0.0,none,1,49.876404003941055,49.876404003941055,49.876404003941055,49.876404003941055,49.876404003941055,0.0,35.45330128586751,35.45330128586751,35.45330128586751,35.45330128586751,35.45330128586751,0.0,220.5451699992409,220.5451699992409,220.5451699992409,220.5451699992409,220.5451699992409,0.0,p1-o8
vnni-sycl-dynamic,28.02503050006023,28.02503050006023,28.02503050006023,28.02503050006023,28.02503050006023,0.0,6427.071148998948,6427.071148998948,6427.071148998948,6427.071148998948,6427.071148998948,0.0,none,1,167.87487979503666,167.87487979503666,167.87487979503666,167.87487979503666,167.87487979503666,0.0,35.68238757127671,35.68238757127671,35.68238757127671,35.68238757127671,35.68238757127671,0.0,6177.219613000489,6177.219613000489,6177.219613000489,6177.219613000489,6177.219613000489,0.0,p1024-o8
