cycle,artifact,direction,target,prefill_tps,decode_tps,ttft_ms,tpot_ms,e2e_ms,first_target_delay_calls,first_target_delay_ms,settle_target_delay_calls,settle_target_delay_ms,background_ready_ms,ready_to_first_target_calls,ready_to_first_target_ms,ready_to_settle_target_calls,ready_to_settle_target_ms,pre_transition_calls_per_s,post_transition_calls_per_s,post_vs_pre_rate,client_pre_transition_tps,client_post_transition_tps,client_post_vs_pre_tps,completion_tokens,stream_tokens,stream_chunks,token_timestamps_exact,execution_calls,igpu_calls,cpu_calls,exploration_calls,switch_delta,final_igpu_ratio,background_stopped
1,/home/wy/Work/ktransformers/artifacts/running-server-bench/dynamic-v5-reprobe-ceiling-engine-low-none-to-compute20-transition-token-exact-smoke-20260719,low-to-high,igpu,161.86354052544792,16.64964143821962,6462.233536993153,60.06135349584633,42439.081233984325,15,1941.225997,15,1941.225997,84.22686,13,1856.999137,13,1856.999137,29.018223372320467,15.060310096017727,0.518994905469756,29.02513960786803,14.58989164113124,0.5026639609056787,600,600,600,True,600,435.0,165.0,0,1,1.0,True
2,/home/wy/Work/ktransformers/artifacts/running-server-bench/dynamic-v5-reprobe-ceiling-engine-low-none-to-compute20-transition-token-exact-cycle02-20260719,low-to-high,igpu,170.40778708767226,16.381550524246173,6138.217142986832,61.044282622692506,42703.860036999686,3,794.856092,3,794.856092,623.295303,0,171.560789,0,171.560789,28.6154020435679,14.639537793491069,0.5115964392602936,28.3795785174479,14.369984898442045,0.5063494825903532,600,600,600,True,600,446.0,154.0,0,1,1.0,True
3,/home/wy/Work/ktransformers/artifacts/running-server-bench/dynamic-v5-reprobe-ceiling-engine-low-none-to-compute20-transition-token-exact-cycle03-20260719,low-to-high,igpu,170.11770705334172,17.52263569317744,6148.683862003963,57.069040155263686,40333.100438001566,8,1022.145646,8,1022.145646,69.704053,6,952.441593,6,952.441593,29.09960610090914,15.782270183704203,0.5423533957461757,29.101929928917265,15.482847105775432,0.5320213176099647,600,600,600,True,600,442.0,158.0,0,1,1.0,True
4,/home/wy/Work/ktransformers/artifacts/running-server-bench/dynamic-v5-reprobe-ceiling-engine-low-none-to-compute20-transition-token-exact-cycle04-20260719,low-to-high,igpu,169.86157988759484,17.500108803059554,6157.955205009785,57.14250186976949,40386.422154988395,29,2286.475244,29,2286.475244,47.411105,27,2239.064139,27,2239.064139,28.789820250097826,15.752466145452736,0.5471540290495287,28.795167809375265,15.488464330646432,0.5378841489370875,600,600,600,True,600,421.0,179.0,0,1,1.0,True
5,/home/wy/Work/ktransformers/artifacts/running-server-bench/dynamic-v5-reprobe-ceiling-engine-low-none-to-compute20-transition-token-exact-cycle05-20260719,low-to-high,igpu,170.17774485782107,18.07257146053989,6146.51463899645,55.33246899498642,39290.762276010355,13,884.402737,13,884.402737,51.603108,11,832.799629,11,832.799629,29.471050145078046,16.053959415447807,0.5447365918899559,29.47425347444636,16.020568388798715,0.5435445007178301,600,600,600,True,600,437.0,163.0,0,1,1.0,True
