metric,unit,n,mean,sample_stdev,ci95_low,ci95_high
prefill_tps,token/s,5,168.48567188237558,3.706984055912811,165.17199771032216,170.25775418886568
decode_tps,token/s,5,17.225301583848534,0.6937386536180432,16.663385740827117,17.73810462209884
ttft_ms,ms,5,6210.720877198037,140.77522682582483,6143.629485194106,6336.813666997477
tpot_ms,ms/token,5,58.12992942771168,2.35319663326862,56.389104034053936,59.87075482136943
e2e_ms,ms,5,41030.645227996865,1475.8154160063184,39926.82951660245,42134.46093939128
first_target_delay_calls,calls,5,13.6,9.787747442593725,6.4,22.0
first_target_delay_ms,ms,5,1385.8211432,680.546166323801,876.1326607999999,1937.0108932000003
settle_target_delay_calls,calls,5,13.6,9.787747442593725,6.4,22.0
settle_target_delay_ms,ms,5,1385.8211432,680.546166323801,876.1326607999999,1937.0108932000003
pre_transition_calls_per_s,calls/s,5,28.998820382394676,0.325663117226726,28.747126496342133,29.2481837185767
post_transition_calls_per_s,calls/s,5,15.457708726822707,0.5863161064500146,14.952238732039026,15.884985068751352
post_vs_pre_rate,x,5,0.532967072283142,0.016430305866580373,0.5197041630281186,0.545226927525029
background_ready_ms,ms,5,175.24808579999998,250.8989285756857,53.5464958,400.3047748
ready_to_first_target_calls,calls,5,11.4,10.064790112068906,4.4,20.0
ready_to_first_target_ms,ms,5,1210.5730574000002,831.3470531796356,592.2324858,1828.9136290000001
ready_to_settle_target_calls,calls,5,11.4,10.064790112068906,3.8,20.0
ready_to_settle_target_ms,ms,5,1210.5730574000002,831.3470531796356,592.2324858,1881.3982366
client_pre_transition_tps,token/s,5,28.95521386761096,0.4039765223294895,28.637802953615953,29.26397163232632
client_post_transition_tps,token/s,5,15.190351272958774,0.6887013911530826,14.637662133420761,15.700210595057499
client_post_vs_pre_tps,x,5,0.5244926821521828,0.018739345551297117,0.5100096409204057,0.5389757233839599
