metric,unit,n,mean,sample_stdev,ci95_low,ci95_high
prefill_tps,token/s,5,169.45642343559626,0.22507524194996853,169.28144007581116,169.63140679538137
decode_tps,token/s,5,18.5775124260557,0.4368453385249444,18.238607710879545,18.957891174242878
ttft_ms,ms,5,6172.687085007783,8.199552485314603,6166.3130284054205,6179.061141610146
tpot_ms,ms/token,5,53.85213594223669,1.2557067852677366,52.76608766777245,54.76678803106203
e2e_ms,ms,5,38430.29701380292,758.2653292180412,37775.24681840441,39025.010414404096
first_target_delay_calls,calls,5,13.4,12.700393694685216,5.6,24.4
first_target_delay_ms,ms,5,1398.6432304,1067.2619287251493,760.3178468,2339.92067
settle_target_delay_calls,calls,5,13.4,12.700393694685216,5.6,24.4
settle_target_delay_ms,ms,5,1398.6432304,1067.2619287251493,760.3178468,2339.92067
pre_transition_calls_per_s,calls/s,5,28.92942108396182,0.03508186095290362,28.902211733162822,28.956630434760815
post_transition_calls_per_s,calls/s,5,17.002174734492026,0.4808559482318671,16.611289623621083,17.364882060978054
post_vs_pre_rate,x,5,0.5877288401751853,0.01731869385456805,0.5736941367721651,0.6008158594990329
background_ready_ms,ms,5,520.7035693999999,1042.530549973355,51.438151000000005,1453.4462826
ready_to_first_target_calls,calls,5,5.0,4.527692569068709,1.8,8.6
ready_to_first_target_ms,ms,5,877.939661,260.9344818066715,672.6739024000001,1083.2054196000001
ready_to_settle_target_calls,calls,5,5.0,4.527692569068709,1.8,8.6
ready_to_settle_target_ms,ms,5,877.939661,260.9344818066715,672.6739024000001,1083.2054196000001
