completion_tokens_ci95_high,completion_tokens_ci95_low,completion_tokens_mean,completion_tokens_median,completion_tokens_p95,completion_tokens_stdev,decode_tps_ci95_high,decode_tps_ci95_low,decode_tps_mean,decode_tps_median,decode_tps_p95,decode_tps_stdev,e2e_ms_ci95_high,e2e_ms_ci95_low,e2e_ms_mean,e2e_ms_median,e2e_ms_p95,e2e_ms_stdev,error_count,n,output_phase_ms_ci95_high,output_phase_ms_ci95_low,output_phase_ms_mean,output_phase_ms_median,output_phase_ms_p95,output_phase_ms_stdev,prefill_tps_ci95_high,prefill_tps_ci95_low,prefill_tps_mean,prefill_tps_median,prefill_tps_p95,prefill_tps_stdev,prompt_tokens_ci95_high,prompt_tokens_ci95_low,prompt_tokens_mean,prompt_tokens_median,prompt_tokens_p95,prompt_tokens_stdev,requested_output_tokens,target_prompt_tokens,tpot_ms_ci95_high,tpot_ms_ci95_low,tpot_ms_mean,tpot_ms_median,tpot_ms_p95,tpot_ms_stdev,ttft_ms_ci95_high,ttft_ms_ci95_low,ttft_ms_mean,ttft_ms_median,ttft_ms_p95,ttft_ms_stdev,ttlt_ms_ci95_high,ttlt_ms_ci95_low,ttlt_ms_mean,ttlt_ms_median,ttlt_ms_p95,ttlt_ms_stdev,workload
300.0,300.0,300.0,300.0,300.0,0.0,29.662018396847895,29.500941394699815,29.581479895773857,29.57356399590076,29.69138462588624,0.10126275627110382,10226.284515397856,10166.358232597122,10196.321373997489,10197.330780996708,10238.339238398476,37.9906481285047,0,5,10134.285256607109,10080.25488560088,10107.77024620329,10110.38101601298,10143.01227980177,34.59234530878448,11.629650888207511,10.785443394027045,11.329065142183207,11.571456167218692,11.66110538952034,0.6004876299073237,1.0,1.0,1.0,1.0,1.0,0.0,300,1,33.897276276942144,33.71322704214341,33.805251659542776,33.81398333114709,33.92311799264806,0.11569346257118536,93.0415065959096,85.94351379724685,88.48224899556953,86.41954699123744,95.34601819468662,5.040322666883528,10226.214456598973,10166.290533798747,10196.25249519886,10197.261235007318,10238.266163595836,37.98853049711156,p1-o300
300.0,300.0,300.0,300.0,300.0,0.0,29.628007165239534,29.46807977819949,29.545409488719105,29.506814718461847,29.673801328741973,0.10240558760961932,16311.602889801725,16254.491523600882,16287.709735202952,16305.783956995583,16316.468507802347,39.44210475227461,0,5,10146.41742100357,10091.893832600908,10120.112547001918,10133.252364001237,10150.146490204497,35.02345372875883,170.04205502390013,168.8381723680786,169.6011715479993,169.90975108766457,170.0866591371491,0.8426485396292085,1046.0,1046.0,1046.0,1046.0,1046.0,0.0,300,1024,33.93503887225316,33.75002224615231,33.8465302575315,33.8904761337834,33.946978228108684,0.1171352967516995,6195.45808340481,6152.042560002883,6167.532819803455,6156.209359993227,6209.334962003049,30.84294989390682,16311.229637056458,16253.132614606875,16287.645366805373,16305.719042997225,16316.406303603435,39.442640669178246,p1024-o300
300.0,300.0,300.0,300.0,300.0,0.0,29.619364365835576,29.444690476706434,29.521097398410756,29.495353638668924,29.676177598769346,0.11589128683211515,22382.028172595892,22357.084310002392,22366.9182971993,22362.11710399948,22389.4673423958,16.59222964216105,0,5,10154.652161593549,10092.835660194396,10128.474205394741,10137.189865999972,10162.912906589918,39.622585318817094,169.39378495320426,168.71004807916046,169.14117306297626,169.30541979917058,169.43742383844253,0.4750738418116131,2070.0,2070.0,2070.0,2070.0,2070.0,0.0,300,2048,33.95897951883856,33.7553032113525,33.874495670216525,33.9036450367892,33.98967527287598,0.1325170077552414,12269.138215604471,12219.554170200718,12238.375042003463,12226.424898006371,12285.352878406411,34.497254887624585,22381.954696396133,22356.66384320066,22366.849247398204,22362.052784999833,22389.39363019599,16.58882156739583,p2048-o300
300.0,300.0,300.0,300.0,300.0,0.0,29.63714409012091,29.505037964343238,29.57881981977055,29.61805934885353,29.64516208800057,0.08340615995014548,34649.091891999706,34497.359492993564,34571.34351479763,34555.6161429995,34690.56597999879,96.98856162145046,0,5,10133.668422800838,10088.692691602046,10108.648948802147,10095.192142005544,10146.828619603184,28.56324793782681,168.827305529509,167.7480855720311,168.34065040524155,168.39976663933695,168.976052861829,0.6847275041491493,4118.0,4118.0,4118.0,4118.0,4118.0,0.0,300,4096,33.89186763478541,33.74144712910383,33.80819046422123,33.763184421423226,33.93588167091366,0.09552925731714684,24550.414668995654,24398.52930533234,24462.6278361975,24453.715597002883,24592.963725994923,99.82232274312247,34649.02623920061,34499.72101879539,34571.276784999645,34555.55523200019,34690.49705820216,96.98710968572989,p4096-o300
300.0,300.0,300.0,300.0,300.0,0.0,29.58272896909902,29.26920115446874,29.449405849594235,29.531059983341056,29.61563680473141,0.20898677866688115,58787.6120373985,58632.44653379952,58710.02928559901,58692.21645699872,58813.49915379833,99.11163658000949,0,5,10218.861857801676,10105.18231499591,10153.417843198986,10124.932873004582,10251.940878204186,72.51025917875837,169.34073909061757,168.97916644758584,169.1679733779248,169.23758358554838,169.39432294140158,0.2292133286297715,8214.6,8214.0,8214.2,8214.0,8214.8,0.4472135954999579,300,8192,34.14897081976802,33.79659637122377,33.95791920802336,33.8626517491792,34.287427686301626,0.24250922802260477,48604.96258819767,48508.122419400024,48556.542503798846,48535.31837298942,48636.432861798676,64.88531072270315,58787.545801795204,58632.37489220046,58709.96034699783,58692.1469289955,58813.43432839494,99.11596671985004,p8192-o300
